,Material type,Elements,Ionic radius,Core size (nm),Hydro size (nm),Surface charge (mV),Surface area (m2/g),Cell type,Exposure dose (ug/mL),Topological polar surface area (Å²),a (Å),b (Å),c (Å),α (°),β (°),γ (°),Density (g/cm3),Viability (%),cell_line,cell_species,cell_origin,time,toxicity,average electronegativity,Molecular weight (g/mol),Number of atoms
1156,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.9,,,,,,2.8066666666666666,79.8658,3.0
1157,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7,,,,,,2.8066666666666666,79.8658,3.0
1158,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,87.19,,,,,,2.8066666666666666,79.8658,3.0
1159,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,112.04,,,,,,2.8066666666666666,79.8658,3.0
1160,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,102.01,,,,,,2.8066666666666666,79.8658,3.0
1161,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,102.01,,,,,,2.8066666666666666,79.8658,3.0
1162,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,91.11,,,,,,2.8066666666666666,79.8658,3.0
1163,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,,,,,,2.8066666666666666,79.8658,3.0
1164,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,122.5,,,,,,2.8066666666666666,79.8658,3.0
1165,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,124.6,,,,,,2.8066666666666666,79.8658,3.0
1166,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,125.9,,,,,,2.8066666666666666,79.8658,3.0
1167,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,127.3,,,,,,2.8066666666666666,79.8658,3.0
1168,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,118.14,,,,,,2.8066666666666666,79.8658,3.0
1169,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,116.4,,,,,,2.8066666666666666,79.8658,3.0
1170,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,116.4,,,,,,2.8066666666666666,79.8658,3.0
1171,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,,,,,,2.8066666666666666,79.8658,3.0
1172,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,105.5,,,,,,2.8066666666666666,79.8658,3.0
1173,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.67,,,,,,2.8066666666666666,79.8658,3.0
1174,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,102.71,,,,,,2.8066666666666666,79.8658,3.0
1175,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,106.58,,,,,,2.8066666666666666,79.8658,3.0
1176,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,99.89,,,,,,2.8066666666666666,79.8658,3.0
1177,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,114.67,,,,,,2.8066666666666666,79.8658,3.0
1178,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,119.59,,,,,,2.8066666666666666,79.8658,3.0
1179,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,,,,,,2.8066666666666666,79.8658,3.0
1180,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,93.91,,,,,,2.8066666666666666,79.8658,3.0
1181,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,92.16,,,,,,2.8066666666666666,79.8658,3.0
1182,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.67,,,,,,2.8066666666666666,79.8658,3.0
1183,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,90.05,,,,,,2.8066666666666666,79.8658,3.0
1184,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,88.29,,,,,,2.8066666666666666,79.8658,3.0
1185,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,103.06,,,,,,2.8066666666666666,79.8658,3.0
1186,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,90.75,,,,,,2.8066666666666666,79.8658,3.0
1187,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,,,,,,2.8066666666666666,79.8658,3.0
1188,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,107.9,,,,,,2.8066666666666666,79.8658,3.0
1189,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,101.6,,,,,,2.8066666666666666,79.8658,3.0
1190,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,105.1,,,,,,2.8066666666666666,79.8658,3.0
1191,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,103.06,,,,,,2.8066666666666666,79.8658,3.0
1192,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,94.97,,,,,,2.8066666666666666,79.8658,3.0
1193,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.32,,,,,,2.8066666666666666,79.8658,3.0
1194,TiO2,Ti,68.0,25.0,228.3,-10.7,40.0,1,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,97.78,,,,,,2.8066666666666666,79.8658,3.0
1195,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,96.1027,,,,,,2.8066666666666666,79.8658,3.0
1196,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,1,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,80.5606,,,,,,2.8066666666666666,79.8658,3.0
1197,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,96.5641,,,,,,2.8066666666666666,79.8658,3.0
1198,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,1,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,96.0304,,,,,,2.8066666666666666,79.8658,3.0
1199,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,94.1623,,,,,,2.8066666666666666,79.8658,3.0
1200,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,0,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,75.8821,,,,,,2.8066666666666666,79.8658,3.0
1201,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,94.7795,,,,,,2.8066666666666666,79.8658,3.0
1202,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,0,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,79.0703,,,,,,2.8066666666666666,79.8658,3.0
1203,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,93.757,,,,,,2.8066666666666666,79.8658,3.0
1204,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,0,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,79.0703,,,,,,2.8066666666666666,79.8658,3.0
1205,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.6434,,,,,,2.8066666666666666,79.8658,3.0
1206,TiO2,Ti,68.0,21.0,74.0,-9.42,57.0,0,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,94.7002,,,,,,2.8066666666666666,79.8658,3.0
1207,TiO2,Ti,68.0,21.0,133.0,-9.42,57.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,93.757,,,,,,2.8066666666666666,79.8658,3.0
1208,TiO2,Ti,68.0,21.0,133.0,-9.42,57.0,0,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,59.1287,,,,,,2.8066666666666666,79.8658,3.0
1209,TiO2,Ti,68.0,21.0,133.0,-9.42,57.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.6434,,,,,,2.8066666666666666,79.8658,3.0
1210,TiO2,Ti,68.0,21.0,133.0,-9.42,57.0,0,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,93.2046,,,,,,2.8066666666666666,79.8658,3.0
1211,TiO2,Ti,68.0,21.0,327.0,-9.42,57.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,93.757,,,,,,2.8066666666666666,79.8658,3.0
1212,TiO2,Ti,68.0,21.0,327.0,-9.42,57.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.6434,,,,,,2.8066666666666666,79.8658,3.0
1213,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,90.4,,,,,,2.8066666666666666,79.8658,3.0
1214,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,1.0,34.1,4.664,4.664,2.966,90,90,90,4.13,91.1,,,,,,2.8066666666666666,79.8658,3.0
1215,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,5.0,34.1,4.664,4.664,2.966,90,90,90,4.13,92.6,,,,,,2.8066666666666666,79.8658,3.0
1216,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,89.6,,,,,,2.8066666666666666,79.8658,3.0
1217,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,92.6,,,,,,2.8066666666666666,79.8658,3.0
1218,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,1.0,34.1,4.664,4.664,2.966,90,90,90,4.13,93.9,,,,,,2.8066666666666666,79.8658,3.0
1219,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,5.0,34.1,4.664,4.664,2.966,90,90,90,4.13,92.2,,,,,,2.8066666666666666,79.8658,3.0
1220,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,92.5,,,,,,2.8066666666666666,79.8658,3.0
1221,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,96.2,,,,,,2.8066666666666666,79.8658,3.0
1222,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,1.0,34.1,4.664,4.664,2.966,90,90,90,4.13,97.3,,,,,,2.8066666666666666,79.8658,3.0
1223,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,5.0,34.1,4.664,4.664,2.966,90,90,90,4.13,89.4,,,,,,2.8066666666666666,79.8658,3.0
1224,TiO2,Ti,68.0,40.0,322.3,-25.27,50.0,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,91.5,,,,,,2.8066666666666666,79.8658,3.0
1225,TiO2,Ti,68.0,169.4,365.0,-13.0,9.8,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7463,,,,,,2.8066666666666666,79.8658,3.0
1226,TiO2,Ti,68.0,169.4,365.0,-13.0,9.8,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,79.7761,,,,,,2.8066666666666666,79.8658,3.0
1227,TiO2,Ti,68.0,169.4,365.0,-13.0,9.8,0,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,58.6567,,,,,,2.8066666666666666,79.8658,3.0
1228,TiO2,Ti,68.0,169.4,365.0,-13.0,9.8,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7463,,,,,,2.8066666666666666,79.8658,3.0
1229,TiO2,Ti,68.0,169.4,365.0,-13.0,9.8,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,83.1343,,,,,,2.8066666666666666,79.8658,3.0
1230,TiO2,Ti,68.0,169.4,365.0,-13.0,9.8,0,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,59.2537,,,,,,2.8066666666666666,79.8658,3.0
1231,TiO2,Ti,68.0,15.5,420.0,-12.0,107.4,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7463,,,,,,2.8066666666666666,79.8658,3.0
1232,TiO2,Ti,68.0,15.5,420.0,-12.0,107.4,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,68.1343,,,,,,2.8066666666666666,79.8658,3.0
1233,TiO2,Ti,68.0,15.5,420.0,-12.0,107.4,0,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,38.0597,,,,,,2.8066666666666666,79.8658,3.0
1234,TiO2,Ti,68.0,15.5,420.0,-12.0,107.4,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7463,,,,,,2.8066666666666666,79.8658,3.0
1235,TiO2,Ti,68.0,15.5,420.0,-12.0,107.4,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,70.8955,,,,,,2.8066666666666666,79.8658,3.0
1236,TiO2,Ti,68.0,15.5,420.0,-12.0,107.4,0,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,40.6716,,,,,,2.8066666666666666,79.8658,3.0
1237,TiO2,Ti,68.0,34.1,400.0,-12.0,48.9,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7463,,,,,,2.8066666666666666,79.8658,3.0
1238,TiO2,Ti,68.0,34.1,400.0,-12.0,48.9,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,78.5821,,,,,,2.8066666666666666,79.8658,3.0
1239,TiO2,Ti,68.0,34.1,400.0,-12.0,48.9,0,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,45.5224,,,,,,2.8066666666666666,79.8658,3.0
1240,TiO2,Ti,68.0,34.1,400.0,-12.0,48.9,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7463,,,,,,2.8066666666666666,79.8658,3.0
1241,TiO2,Ti,68.0,34.1,400.0,-12.0,48.9,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,77.3881,,,,,,2.8066666666666666,79.8658,3.0
1242,TiO2,Ti,68.0,34.1,400.0,-12.0,48.9,0,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,48.4328,,,,,,2.8066666666666666,79.8658,3.0
1243,TiO2,Ti,68.0,5.9,460.0,-12.0,280.9,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7463,,,,,,2.8066666666666666,79.8658,3.0
1244,TiO2,Ti,68.0,5.9,460.0,-12.0,280.9,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,79.9254,,,,,,2.8066666666666666,79.8658,3.0
1245,TiO2,Ti,68.0,5.9,460.0,-12.0,280.9,0,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,48.2836,,,,,,2.8066666666666666,79.8658,3.0
1246,TiO2,Ti,68.0,20.0,707.0,-12.1,50.4,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,,,,,,2.8066666666666666,79.8658,3.0
1247,TiO2,Ti,68.0,20.0,707.0,-12.1,50.4,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,99.27102057,,,,,,2.8066666666666666,79.8658,3.0
1248,TiO2,Ti,68.0,20.0,707.0,-12.1,50.4,0,30.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,,,,,,2.8066666666666666,79.8658,3.0
1249,TiO2,Ti,68.0,20.0,707.0,-12.1,50.4,0,100000.0,34.1,4.664,4.664,2.966,90,90,90,4.13,96.7845017,,,,,,2.8066666666666666,79.8658,3.0
1250,TiO2,Ti,68.0,20.0,707.0,-12.1,50.4,0,300.0,34.1,4.664,4.664,2.966,90,90,90,4.13,79.74835231,,,,,,2.8066666666666666,79.8658,3.0
1251,TiO2,Ti,68.0,10.0,1457.0,-11.0,166.0,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,,,,,,2.8066666666666666,79.8658,3.0
1252,TiO2,Ti,68.0,10.0,1457.0,-11.0,166.0,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,94.68656716,,,,,,2.8066666666666666,79.8658,3.0
1253,TiO2,Ti,68.0,10.0,1457.0,-11.0,166.0,0,30.0,34.1,4.664,4.664,2.966,90,90,90,4.13,91.30348259,,,,,,2.8066666666666666,79.8658,3.0
1254,TiO2,Ti,68.0,10.0,1457.0,-11.0,166.0,0,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,96.75621891,,,,,,2.8066666666666666,79.8658,3.0
1255,TiO2,Ti,68.0,10.0,1457.0,-11.0,166.0,0,300.0,34.1,4.664,4.664,2.966,90,90,90,4.13,84.50746269,,,,,,2.8066666666666666,79.8658,3.0
1256,TiO2,Ti,68.0,20.0,338.0,-7.7,50.4,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,,,,,,2.8066666666666666,79.8658,3.0
1257,TiO2,Ti,68.0,20.0,338.0,-7.7,50.4,1,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,107.9472843,,,,,,2.8066666666666666,79.8658,3.0
1258,TiO2,Ti,68.0,20.0,338.0,-7.7,50.4,1,30.0,34.1,4.664,4.664,2.966,90,90,90,4.13,116.9728435,,,,,,2.8066666666666666,79.8658,3.0
1259,TiO2,Ti,68.0,20.0,338.0,-7.7,50.4,1,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,106.8590256,,,,,,2.8066666666666666,79.8658,3.0
1260,TiO2,Ti,68.0,20.0,338.0,-7.7,50.4,1,300.0,34.1,4.664,4.664,2.966,90,90,90,4.13,99.68051118,,,,,,2.8066666666666666,79.8658,3.0
1261,TiO2,Ti,68.0,10.0,262.0,-5.7,166.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,,,,,,2.8066666666666666,79.8658,3.0
1262,TiO2,Ti,68.0,10.0,262.0,-5.7,166.0,1,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,103.9594111,,,,,,2.8066666666666666,79.8658,3.0
1263,TiO2,Ti,68.0,10.0,262.0,-5.7,166.0,1,30.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.68245125,,,,,,2.8066666666666666,79.8658,3.0
1264,TiO2,Ti,68.0,10.0,262.0,-5.7,166.0,1,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,104.6756864,,,,,,2.8066666666666666,79.8658,3.0
1265,TiO2,Ti,68.0,10.0,262.0,-5.7,166.0,1,300.0,34.1,4.664,4.664,2.966,90,90,90,4.13,91.0465579,,,,,,2.8066666666666666,79.8658,3.0
1266,TiO2,Ti,68.0,35.0,1814.0,-35.5,0.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,101.5761,,,,,,2.8066666666666666,79.8658,3.0
1267,TiO2,Ti,68.0,35.0,1814.0,-35.5,66.0,1,6.25,34.1,4.664,4.664,2.966,90,90,90,4.13,76.5942,,,,,,2.8066666666666666,79.8658,3.0
1268,TiO2,Ti,68.0,35.0,1814.0,-35.5,66.0,1,12.5,34.1,4.664,4.664,2.966,90,90,90,4.13,82.4275,,,,,,2.8066666666666666,79.8658,3.0
1269,TiO2,Ti,68.0,35.0,1814.0,-35.5,66.0,1,25.0,34.1,4.664,4.664,2.966,90,90,90,4.13,76.721,,,,,,2.8066666666666666,79.8658,3.0
1270,TiO2,Ti,68.0,35.0,1814.0,-35.5,66.0,1,50.0,34.1,4.664,4.664,2.966,90,90,90,4.13,73.2971,,,,,,2.8066666666666666,79.8658,3.0
1271,TiO2,Ti,68.0,35.0,1814.0,-35.5,66.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7394,,,,,,2.8066666666666666,79.8658,3.0
1272,TiO2,Ti,68.0,35.0,1814.0,-35.5,66.0,1,6.25,34.1,4.664,4.664,2.966,90,90,90,4.13,124.9775,,,,,,2.8066666666666666,79.8658,3.0
1273,TiO2,Ti,68.0,35.0,1814.0,-35.5,66.0,1,12.5,34.1,4.664,4.664,2.966,90,90,90,4.13,105.284,,,,,,2.8066666666666666,79.8658,3.0
1274,TiO2,Ti,68.0,35.0,1814.0,-35.5,66.0,1,25.0,34.1,4.664,4.664,2.966,90,90,90,4.13,106.9252,,,,,,2.8066666666666666,79.8658,3.0
1275,TiO2,Ti,68.0,35.0,1814.0,-35.5,66.0,1,50.0,34.1,4.664,4.664,2.966,90,90,90,4.13,101.6231,,,,,,2.8066666666666666,79.8658,3.0
1276,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,101.5761,,,,,,2.8066666666666666,79.8658,3.0
1277,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,6.25,34.1,4.664,4.664,2.966,90,90,90,4.13,91.4312,,,,,,2.8066666666666666,79.8658,3.0
1278,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,12.5,34.1,4.664,4.664,2.966,90,90,90,4.13,89.2754,,,,,,2.8066666666666666,79.8658,3.0
1279,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,25.0,34.1,4.664,4.664,2.966,90,90,90,4.13,90.7971,,,,,,2.8066666666666666,79.8658,3.0
1280,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,50.0,34.1,4.664,4.664,2.966,90,90,90,4.13,81.9837,,,,,,2.8066666666666666,79.8658,3.0
1281,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.9919,,,,,,2.8066666666666666,79.8658,3.0
1282,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,6.25,34.1,4.664,4.664,2.966,90,90,90,4.13,119.4229,,,,,,2.8066666666666666,79.8658,3.0
1283,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,12.5,34.1,4.664,4.664,2.966,90,90,90,4.13,117.4031,,,,,,2.8066666666666666,79.8658,3.0
1284,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,25.0,34.1,4.664,4.664,2.966,90,90,90,4.13,111.7538,,,,,,2.8066666666666666,79.8658,3.0
1285,TiO2,Ti,68.0,30.0,1843.0,-30.8,69.0,1,50.0,34.1,4.664,4.664,2.966,90,90,90,4.13,99.5401,,,,,,2.8066666666666666,79.8658,3.0
1286,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,101.7029,,,,,,2.8066666666666666,79.8658,3.0
1287,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,6.25,34.1,4.664,4.664,2.966,90,90,90,4.13,68.4783,,,,,,2.8066666666666666,79.8658,3.0
1288,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,12.5,34.1,4.664,4.664,2.966,90,90,90,4.13,57.6993,,,,,,2.8066666666666666,79.8658,3.0
1289,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,25.0,34.1,4.664,4.664,2.966,90,90,90,4.13,51.6123,,,,,,2.8066666666666666,79.8658,3.0
1290,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,50.0,34.1,4.664,4.664,2.966,90,90,90,4.13,44.5109,,,,,,2.8066666666666666,79.8658,3.0
1291,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.8656,,,,,,2.8066666666666666,79.8658,3.0
1292,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,6.25,34.1,4.664,4.664,2.966,90,90,90,4.13,102.3805,,,,,,2.8066666666666666,79.8658,3.0
1293,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,12.5,34.1,4.664,4.664,2.966,90,90,90,4.13,90.2615,,,,,,2.8066666666666666,79.8658,3.0
1294,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,25.0,34.1,4.664,4.664,2.966,90,90,90,4.13,88.1154,,,,,,2.8066666666666666,79.8658,3.0
1295,TiO2,Ti,68.0,125.0,1054.0,-40.8,38.0,1,50.0,34.1,4.664,4.664,2.966,90,90,90,4.13,80.5095,,,,,,2.8066666666666666,79.8658,3.0
1296,TiO2,Ti,68.0,5.9,460.0,-12.0,280.9,0,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7463,,,,,,2.8066666666666666,79.8658,3.0
1297,TiO2,Ti,68.0,5.9,460.0,-12.0,280.9,0,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,78.6567,,,,,,2.8066666666666666,79.8658,3.0
1298,TiO2,Ti,68.0,5.9,460.0,-12.0,280.9,0,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,44.3284,,,,,,2.8066666666666666,79.8658,3.0
1299,TiO2,Ti,68.0,33.7,303.0,-25.3,42.5,1,0.1,34.1,4.664,4.664,2.966,90,90,90,4.13,102.5502,,,,,,2.8066666666666666,79.8658,3.0
1300,TiO2,Ti,68.0,33.7,303.0,-25.3,42.5,1,1.0,34.1,4.664,4.664,2.966,90,90,90,4.13,87.8069,,,,,,2.8066666666666666,79.8658,3.0
1301,TiO2,Ti,68.0,33.7,303.0,-25.3,42.5,1,10.0,34.1,4.664,4.664,2.966,90,90,90,4.13,71.2139,,,,,,2.8066666666666666,79.8658,3.0
1302,TiO2,Ti,68.0,33.7,303.0,-25.3,42.5,1,0.1,34.1,4.664,4.664,2.966,90,90,90,4.13,79.6464,,,,,,2.8066666666666666,79.8658,3.0
1303,TiO2,Ti,68.0,33.7,303.0,-25.3,42.5,1,1.0,34.1,4.664,4.664,2.966,90,90,90,4.13,73.7708,,,,,,2.8066666666666666,79.8658,3.0
